Question Text (English),Option A,Option B,Option C,Option D,,Explanation (English),DOPD Operation Weight (%),DOPD Discipline Weight (%),DOPD Professionalism Weight (%),Malay Question Text,Malay Option A,Malay Option B,Malay Option C,Malay Option D,Malay Explanation,Batch
A customer questions a delivery delay and speaks to you in a frustrated tone.,Respond briefly and focus on completing the delivery,Explain the situation calmly and confirm the next steps,Defend your actions and point out factors beyond your control,Avoid discussion and direct the customer to the office,B,"Calm, clear explanation helps reduce frustration and keeps the interaction professional.",,0.25,0.75,Seorang pelanggan mempersoalkan kelewatan penghantaran dan bercakap dengan nada tidak puas hati.,Jawab secara ringkas dan fokus untuk selesaikan penghantaran,Terangkan keadaan dengan tenang dan sahkan langkah seterusnya,Pertahankan tindakan anda dan jelaskan faktor di luar kawalan,Elakkan perbincangan dan arahkan pelanggan ke pejabat,Penjelasan yang tenang dan jelas membantu kurangkan ketegangan dan kekalkan profesionalisme.,1
A colleague suggests you keep quiet about a major issue to avoid attention from management.,Explain clearly why the issue should be reported,Agree to stay quiet to keep things smooth,Avoid responding and let the matter pass,Say little and continue with your work,A,Clear communication and honesty help prevent larger problems later.,,0.5,0.5,Seorang rakan sekerja mencadangkan supaya anda berdiam diri tentang satu isu besar untuk elakkan perhatian pihak pengurusan.,Jelaskan dengan terang mengapa isu itu perlu dilaporkan,Setuju untuk berdiam diri supaya keadaan kekal tenang,Elakkan memberi respons dan biarkan perkara itu berlalu,Kurangkan bercakap dan teruskan kerja anda,Komunikasi yang jelas dan jujur membantu elakkan masalah menjadi lebih besar.,1
"While parked in a public area, a bystander hints that a small payment could allow special access.",Decline politely and continue following normal procedures,Consider the request since it may avoid inconvenience to others,Delay responding and see if the situation resolves itself,Suggest discussing the matter later to keep things moving,A,Refusing improper offers protects integrity and maintains public trust.,,0.25,0.75,"Semasa parkir di kawasan awam, seorang individu menyatakan bahawa bayaran kecil boleh membolehkan akses khas.",Tolak dengan sopan dan ikut prosedur biasa,Pertimbangkan permintaan itu kerana mungkin elakkan kesulitan,Tangguhkan respons dan lihat perkembangan keadaan,Cadangkan bincang perkara itu kemudian supaya urusan dapat diteruskan,Menolak tawaran yang tidak sesuai membantu kekalkan integriti dan kepercayaan orang awam.,1
"During a delivery, a culturally sensitive interaction is happening while people nearby are watching or recording.",Maintain respectful behaviour and continue professionally,Explain your actions carefully so others do not misinterpret them,Limit the interaction to avoid drawing further attention,Adjust your response to match how others expect you to behave,A,"Maintaining respectful, professional behaviour protects your image during visible interactions.",,0.25,0.75,"Semasa penghantaran, berlaku interaksi sensitif berkaitan budaya dan orang sekeliling sedang melihat dan merakam.",Kekalkan tingkah laku yang hormat dan teruskan secara profesional,Terangkan tindakan anda dengan teliti supaya tidak disalah tafsir,Hadkan interaksi untuk elak menarik lebih perhatian,Ubah respons anda mengikut jangkaan orang sekeliling,Sikap hormat dan profesional membantu melindungi imej anda apabila situasi diperhatikan orang lain.,1
"Traffic ahead is moving, but you keep extra distance. A customer messages asking why progress feels slow.",Maintain safe following distance and explain the situation calmly,Close the gap slightly so movement appears faster,Reassure the customer and focus on keeping pace,Ignore the message and continue driving,A,Keeping a safe following distance while explaining the reason supports safety and customer confidence.,0.25,0.25,0.5,"Trafik di hadapan bergerak, namun anda mengekalkan jarak yang lebih selamat. Pelanggan menghantar mesej bertanya mengapa pergerakan agak lambat.",Kekalkan jarak selamat dan jelaskan keadaan dengan tenang,Rapatkan sedikit jarak supaya pergerakan nampak lebih cepat,Yakinkan pelanggan dan cuba kekalkan kelajuan trafik,Abaikan mesej dan teruskan pemanduan,Mengekalkan jarak selamat sambil memberi penjelasan membantu menjaga keselamatan dan keyakinan pelanggan.,1
You slow early after spotting a hazard ahead. The driver behind reacts angrily and closes in.,Keep your speed steady and avoid engaging,Speed up slightly to reduce pressure from behind,Brake again to show there is a hazard ahead,Gesture briefly to discourage the tailgating,A,Maintaining steady driving and avoiding engagement helps manage hazards without escalating conflict.,0.5,,0.5,Anda memperlahankan kenderaan lebih awal selepas melihat bahaya di hadapan. Pemandu di belakang bertindak marah dan merapat.,Kekalkan kelajuan yang stabil dan elakkan memberi respons,Tambah sedikit kelajuan untuk mengurangkan tekanan dari belakang,Tekan brek sekali lagi untuk menunjukkan terdapat bahaya di hadapan,Buat isyarat ringkas untuk menghalang tingkah laku tersebut,Mengekalkan pemanduan yang stabil dan tidak bertindak balas membantu mengurus risiko tanpa menambahkan ketegangan.,1
You have worked six consecutive days and are scheduled for another duty.,Continue working if you feel fit.,Take one rest day after six working days.,Work half a day before taking leave.,Swap shifts without taking a rest day.,B,Take the required rest day after six consecutive working days.,0.5,0.5,,Anda telah bekerja selama enam hari berturut-turut dan dijadualkan untuk bertugas lagi.,Terus bekerja jika anda berasa cergas.,Ambil satu hari rehat selepas enam hari bekerja.,Bekerja separuh hari sebelum mengambil cuti.,Tukar syif tanpa mengambil hari rehat.,Ambil hari rehat yang ditetapkan selepas enam hari bekerja berturut-turut.,1
"Before starting your shift, you notice dark tint film and stickers on part of the windscreen.",Leave them since they were already installed.,Remove or report them because they may obstruct visibility.,Start driving and adjust your seating position instead.,Ignore them as long as the road ahead is visible.,B,Address unauthorised modifications to protect visibility and vehicle safety.,0.5,0,0.5,"Sebelum memulakan syif, anda mendapati terdapat filem gelap dan pelekat pada sebahagian cermin hadapan.",Biarkan kerana ia telah dipasang sebelum ini.,Tanggalkan atau laporkan kerana ia boleh menghalang penglihatan.,Mulakan pemanduan dan laraskan kedudukan tempat duduk.,Abaikan selagi jalan di hadapan masih kelihatan.,Tangani pengubahsuaian tanpa kelulusan untuk menjaga penglihatan dan keselamatan kenderaan.,1
A colleague asks to ride in your cabin as a second driver for convenience.,Allow the ride if the journey is short.,Decline unless company authorisation is given.,Allow the ride if the colleague is an employee.,Permit the ride if no customers are affected.,B,Do not carry passengers without proper company authorisation.,0.5,0,0.5,Seorang rakan sekerja meminta untuk menaiki kabin anda sebagai pemandu kedua atas alasan kemudahan.,Benarkan jika perjalanan adalah singkat.,Tolak kecuali terdapat kebenaran daripada syarikat.,Benarkan jika rakan tersebut ialah pekerja syarikat.,Benarkan jika tiada pelanggan yang terjejas.,Jangan membawa penumpang tanpa kebenaran rasmi daripada syarikat.,1
You notice only three safety cones are available in the vehicle.,Proceed since cones are rarely used.,Ensure five compliant safety cones are available.,Carry additional cones only for highway trips.,Proceed since 3 cones is enough.,B,Ensure the required number of compliant safety cones is carried.,0,1,0,Anda mendapati hanya tiga kon keselamatan tersedia di dalam kenderaan.,Teruskan perjalanan kerana kon jarang digunakan.,Pastikan lima kon keselamatan yang mematuhi spesifikasi tersedia.,Bawa kon tambahan hanya untuk perjalanan di lebuh raya.,Teruskan kerana 3 kon sudah mencukupi.,Pastikan bilangan kon keselamatan yang mematuhi spesifikasi dibawa seperti yang ditetapkan.,1
You are verifying the vehicle before loading cargo.,Confirm the permitted load limit before loading.,Load first and check weight later.,Estimate weight based on experience.,Accept the customer's estimate without verification.,A,Confirm the permitted load limit before carrying cargo.,0.5,0,0.5,Anda sedang mengesahkan keadaan kenderaan sebelum memuatkan kargo.,Sahkan had muatan yang dibenarkan sebelum memuatkan kargo.,Muatkan terlebih dahulu dan periksa berat kemudian.,Anggarkan berat berdasarkan pengalaman.,Terima anggaran pelanggan tanpa pengesahan.,Sahkan had muatan yang dibenarkan sebelum membawa kargo.,1
You are preparing for duty.,Wear a collared shirt before reporting for duty.,Wear any casual T-shirt as long as it is clean.,Wear a sleeveless shirt in hot weather.,Change only if instructed by a supervisor.,A,Wear proper collared attire as required for duty.,0.5,0,0.5,Anda sedang membuat persediaan untuk bertugas.,Pakai baju berkolar sebelum melapor diri untuk bertugas.,Pakai mana-mana baju T kasual asalkan bersih.,Pakai baju tanpa lengan ketika cuaca panas.,Tukar pakaian hanya jika diarahkan oleh penyelia.,Pakai pakaian berkolar yang sesuai seperti yang ditetapkan semasa bertugas.,1
"After completing your task, you still have the prime mover key.",Take the key home for the next shift.,Return the key to the company as required.,Leave the key inside the vehicle.,Keep the key until requested.,B,Return vehicle keys to the company after duty.,0.5,0,0.5,"Selepas menamatkan tugasan, anda masih memegang kunci kepala lori.",Bawa pulang kunci untuk syif seterusnya.,Pulangkan kunci kepada syarikat seperti yang ditetapkan.,Tinggalkan kunci di dalam kenderaan.,Simpan kunci sehingga diminta.,Pulangkan kunci kenderaan kepada syarikat selepas bertugas.,1
You notice a mismatch between the seal number and the gate pass record.,Proceed if the container is sealed.,Report to operations for further instruction.,Correct the document yourself.,Continue if the customer is waiting.,B,Report any container or seal discrepancy before proceeding.,0.5,0,0.5,Anda mendapati nombor seal tidak sepadan dengan rekod pada gate pass.,Teruskan jika kontena telah dimeterai.,Laporkan kepada bahagian operasi untuk arahan selanjutnya.,Betulkan dokumen sendiri.,Teruskan perjalanan jika pelanggan sedang menunggu.,Laporkan sebarang perbezaan pada kontena atau seal sebelum meneruskan perjalanan.,1
"At the customer site, the container door appears misaligned.",Record it internally and inform operations.,Lock it and continue.,Deliver first and explain later.,Adjust it without reporting.,A,Report container defects before moving.,0.5,0,0.5,"Di premis pelanggan, pintu kontena kelihatan tidak sejajar.",Catat dalam rekod dalaman dan maklumkan bahagian operasi.,Kunci pintu dan teruskan perjalanan.,Hantar dahulu dan jelaskan kemudian.,Laraskan tanpa melaporkan.,Laporkan kecacatan kontena sebelum meneruskan pergerakan.,1
The customer indicates a location that appears tight and near property.,Position quickly to minimise delay.,Prioritise safety to prevent property damage or injury.,Follow the instruction eventhough you have doubts.,Ask workers to stand nearby to guide closely.,B,Prioritise safety when positioning containers on site.,0,0,1,Pelanggan menunjukkan lokasi yang kelihatan sempit dan berhampiran harta benda.,Letakkan kontena dengan cepat untuk mengurangkan kelewatan.,Utamakan keselamatan bagi mengelakkan kerosakan atau kecederaan.,Teruskan walaupun anda mempunyai keraguan tentang ruang tersebut.,Minta pekerja berdiri berhampiran untuk memberi panduan dari jarak dekat.,Utamakan keselamatan semasa meletakkan kontena di tapak.,1
"After a road collision, what should you record first?",The exact accident location.,The damages.,The estimated repair cost.,The traffic condition.,A,Record the accident location accurately.,0.5,0,0.5,"Selepas berlaku pelanggaran jalan raya, apakah yang perlu anda catat terlebih dahulu?",Lokasi kemalangan yang tepat.,Kerosakan yang berlaku.,Anggaran kos pembaikan.,Keadaan trafik.,Catat lokasi kemalangan dengan tepat.,1
Your vehicle catches fire during transit.,Inform operations or the company safety team immediately.,Attempt to control the fire fully before reporting.,Inform the customer first.,Report only if damage is severe.,A,Report fire incidents immediately for further instruction.,0.5,0,0.5,Kenderaan anda terbakar semasa dalam perjalanan.,Maklumkan kepada bahagian operasi atau pasukan keselamatan syarikat dengan segera.,Cuba kawal kebakaran sepenuhnya sebelum melaporkan.,Maklumkan kepada pelanggan terlebih dahulu.,Laporkan hanya jika kerosakan adalah serius.,Laporkan kejadian kebakaran dengan segera untuk arahan lanjut.,1
"During initial reporting, what should you do if additional relevant details arise?",Share any information that supports the initial report.,Limit information to basic facts only.,Provide extra details only if requested later.,Wait until writing a formal report.,A,Provide all relevant information for the initial response.,0.5,0,0.5,"Semasa laporan awal dibuat, apakah yang perlu anda lakukan jika terdapat maklumat tambahan yang berkaitan?",Kongsikan maklumat yang menyokong laporan awal.,Hadkan maklumat kepada fakta asas sahaja.,Berikan butiran tambahan hanya jika diminta kemudian.,Tunggu sehingga menyediakan laporan rasmi.,Berikan semua maklumat yang berkaitan untuk tindakan awal yang tepat.,1
You position your vehicle in a loading area where forklifts are operating.,Move forward quickly and stop near loading,Stop at a safe distance and proceed when clear,Continue moving and rely on forklift guidance,Park as close as possible despite limited space,B,Keep a safe distance from active loading zones to reduce collision risk.,0.75,0.25,,Anda meletakkan kenderaan di kawasan memuat/memunggah barang di mana forklift sedang beroperasi.,Bergerak cepat ke hadapan dan berhenti berhampiran kawasan memuat/memunggah barang,Berhenti pada jarak selamat dan bergerak apabila laluan sudah jelas,Terus bergerak dan bergantung pada panduan forklift,Parkir sedekat mungkin walaupun ruang terhad,Kekalkan jarak selamat dari kawasan kawasan pemuatan aktif untuk mengurangkan risiko pelanggaran.,2
You approach a busy junction. Traffic slows and visibility is partly blocked by surrounding vehicles.,Reduce speed early and prepare to stop,Maintain speed and brake only if needed,Slow slightly and move when the vehicle ahead moves,Keep moving to clear the junction quickly,A,Reduce speed before junctions to respond safely to unexpected movement.,0.75,0.25,,Anda menghampiri persimpangan yang sibuk. Trafik perlahan dan sebahagian pandangan terhalang oleh kenderaan sekeliling.,Kurangkan kelajuan lebih awal dan bersedia untuk berhenti,Kekalkan kelajuan dan brek hanya jika perlu,Perlahankan sedikit dan bergerak apabila kenderaan di hadapan bergerak,Terus bergerak untuk melepasi persimpangan dengan cepat,Kurangkan kelajuan sebelum persimpangan untuk bertindak balas dengan selamat terhadap pergerakan mengejut.,2
You are on foot near your vehicle in an active loading area. Forklifts operate and stacked goods restrict visibility.,Keep clear of loading paths and wait until movement settles,Move closer to observe equipment movement,Walk through quickly to minimise time in the area,Stand where operators can see you and keep moving,A,Keep clear of loading activity to avoid sudden equipment movement and blind spots.,0.75,0.25,,Anda berjalan berhampiran kenderaan di kawasan pemunggahan aktif. Forklift beroperasi dan susunan barangan menghadkan pandangan.,Kekal jauh dari laluan pemunggahan dan tunggu sehingga pergerakan reda,Bergerak lebih dekat untuk memerhati pergerakan jentera,Berjalan cepat untuk kurangkan masa di kawasan itu,Berdiri di tempat pengendali boleh nampak dan terus bergerak,Kekalkan jarak dari aktiviti pemunggahan untuk elakkan pergerakan jentera mengejut dan kawasan titik buta.,2
You drive inside an industrial site where equipment operates near the roadway.,Reduce speed early and keep extra clearance from equipment,Maintain pace and adjust if equipment enters your path,Continue slowly to pass before equipment repositions,Follow the vehicle ahead past the equipment,A,Reduce speed early and keep clear of operating equipment.,0.75,0.25,,Anda memandu di dalam kawasan industri di mana jentera beroperasi berhampiran laluan.,Kurangkan kelajuan lebih awal dan kekalkan jarak daripada jentera,Kekalkan kelajuan dan sesuaikan jika jentera memasuki laluan anda,Terus bergerak perlahan untuk melepasi sebelum jentera beralih,Ikut kenderaan di hadapan melepasi jentera,Kurangkan kelajuan lebih awal dan kekalkan jarak dari jentera beroperasi.,2
"Inside a site yard, equipment operates near your path when another vehicle cuts across.","Slow down, keep distance from equipment, and continue calmly",Adjust position to regain progress while watching equipment,Proceed steadily to clear the area quickly,Follow the vehicle ahead closely to avoid delay,A,Maintain composure and distance near operating equipment.,0.75,0.25,,"Di kawasan tapak, jentera beroperasi berhampiran laluan anda dan tiba-tiba sebuah kenderaan melintas di hadapan.","Perlahankan, kekalkan jarak dari jentera, dan teruskan dengan tenang",Laraskan kedudukan untuk meneruskan pergerakan sambil memerhati jentera,Terus bergerak untuk melepasi kawasan itu dengan cepat,Ikut kenderaan di hadapan dengan rapat untuk elakkan kelewatan,Kekalkan ketenangan dan jarak selamat berhampiran jentera beroperasi.,2
"Before starting duty, you have not completed the required rest and are still under medication.",Delay starting duty and report the issue,Start the trip carefully since the route is familiar,Begin driving and stop later if you feel affected,Proceed and take rest after your shift,A,Confirm fitness for duty before driving.,0.5,0.5,,"Sebelum memulakan tugas, anda belum mendapat rehat yang cukup dan masih di bawah kesan ubat.",Tangguhkan tugas dan laporkan keadaan tersebut,Mulakan perjalanan dengan berhati-hati kerana laluan sudah biasa,Mula memandu dan berhenti kemudian jika terasa terjejas,Teruskan dan ambil rehat selepas tamat syif,Pastikan kecergasan untuk bertugas sebelum memandu.,2
"At a site entrance, valid driving credentials are required. One required credential has expired.",Stop the entry process and report the issue,Complete the safety induction and resolve it later,Proceed since rules will be explained during induction,Wait to see if access is granted,A,Valid credentials are required before site entry.,0.25,0.75,,"Di pintu masuk tapak, kelayakan memandu yang sah diperlukan. Satu kelayakan telah tamat tempoh.",Hentikan proses masuk dan laporkan masalah tersebut,Selesaikan taklimat keselamatan dan uruskan kemudian,Teruskan masuk kerana peraturan akan diterangkan semasa taklimat,Tunggu untuk melihat sama ada akses dibenarkan,Kelayakan yang sah diperlukan sebelum memasuki tapak.,2
"After loading at a site, procedure requires using a designated exit route.",Follow the designated exit route and site rules,Take a shorter route since no traffic is visible,Adjust your exit path to save time,Exit based on familiarity rather than instructions,A,Follow site exit routes and movement rules.,0.5,0.5,,"Selepas selesai memunggah keluar di tapak, prosedur memerlukan anda menggunakan laluan keluar yang ditetapkan.",Ikut laluan keluar dan peraturan pergerakan tapak,Ambil laluan lebih pendek kerana tiada trafik kelihatan,Laraskan laluan keluar untuk menjimatkan masa,Keluar berdasarkan kebiasaan dan bukan arahan,Ikut laluan keluar dan peraturan pergerakan tapak.,2
"While manoeuvring at low speed in a confined space, you notice resistance and a faint scraping sound.",Stop and reassess clearance before continuing,Proceed slowly and rely on steering to clear the space,Apply more throttle to finish quickly,Continue and inspect the vehicle after the manoeuvre,A,Stop when unusual resistance or sounds occur.,0.75,0.25,,"Semasa membuat manuver pada kelajuan rendah di ruang sempit, anda merasakan rintangan dan bunyi geseran ringan.",Berhenti dan semak semula ruang sebelum meneruskan,Terus bergerak perlahan dan bergantung pada stereng,Tekan minyak lebih untuk menyelesaikan manuver dengan cepat,Teruskan dan periksa kenderaan selepas manuver selesai,Berhenti apabila terdapat rintangan atau bunyi tidak biasa.,2
"During a rest stop, you notice rubbish and food containers inside the truck cabin.",Leave the cabin unchanged since cleanliness does not affect vehicle operation,Clean the cabin later when the schedule is less demanding,Clean and tidy the cabin immediately,Remove only items that may interfere with driving controls,C,Maintaining cabin cleanliness supports safe operation and professional standards.,,0.5,0.5,"Semasa berhenti rehat, anda melihat sampah dan bekas makanan di dalam kabin lori.",Biarkan kabin seperti itu kerana kebersihan tidak menjejaskan operasi kenderaan,Bersihkan kabin kemudian apabila jadual kurang sibuk,Bersihkan dan kemaskan kabin segera,Buang hanya barang yang boleh mengganggu kawalan pemanduan,Menjaga kebersihan kabin menyokong operasi selamat dan mencerminkan profesionalisme.,2
"While reversing slowly in a tight site area, you lose clear sight of one rear corner.",Continue reversing slowly using mirrors,Stop the vehicle and reassess the situation,Turn the steering slightly and keep moving,Rely on previous experience and continue,B,Stop when visibility is uncertain to prevent damage and protect people and property.,1,,,"Semasa mengundur perlahan di kawasan tapak yang sempit, anda hilang pandangan jelas pada satu sudut belakang.",Terus mengundur perlahan menggunakan cermin,Berhenti dan nilai semula keadaan,Pusing stereng sedikit dan terus bergerak,Bergantung pada pengalaman lalu dan teruskan,Berhenti apabila pandangan tidak jelas untuk mengelakkan kerosakan dan melindungi orang serta harta benda.,2
"During unloading, site staff give instructions abruptly while you are positioning the vehicle.",Respond minimally and focus only on vehicle positioning,Acknowledge the instructions and coordinate calmly,Challenge the tone and clarify who is responsible,Proceed without engaging further,B,"Calm coordination helps tasks run smoothly, even when instructions are delivered abruptly.",,,1,"Semasa memunggah muatan, kakitangan tapak memberi arahan secara tiba-tiba ketika anda sedang memposisikan kenderaan.",Jawab secara minimum dan fokus pada posisi kenderaan sahaja,Akui arahan tersebut dan bekerjasama dengan tenang,Persoalkan nada arahan dan jelaskan siapa bertanggungjawab,Teruskan tanpa melibatkan diri,Bekerjasama dengan tenang membantu kerja berjalan lancar walaupun arahan diberi secara tiba-tiba.,2
"A disagreement arises on site, and the discussion starts to become tense.","Speak calmly, acknowledge concerns, and clarify next steps",Restate your position firmly to end the discussion,Reduce interaction and wait for the situation to pass,Continue the task without engaging further,A,Calm acknowledgement and clear steps help prevent disagreements from escalating.,,0.25,0.75,Berlaku perbezaan pendapat di tapak dan perbincangan mula menjadi tegang.,Bercakap dengan tenang dan jelaskan langkah seterusnya,Tegaskan pendirian anda untuk tamatkan perbincangan,Kurangkan interaksi dan tunggu keadaan reda,Teruskan tugas tanpa melibatkan diri,Pendekatan yang tenang dan langkah yang jelas membantu elakkan keadaan menjadi lebih tegang.,2
